date,close
2007-03-01,2459.51
2007-03-02,2503.68
2007-03-05,2511.92
2007-03-06,2516
2007-03-07,2580.6
2007-03-08,2634.88
2007-03-09,2638.05
2007-03-12,2696.5
2007-03-13,2727.46
2007-03-14,2708.69
2007-03-15,2760.84
2007-03-16,2710.86
2007-03-19,2751.48
2007-03-20,2810.71
2007-03-21,2858.81
2007-03-22,2861.15
2007-03-23,2898
2007-03-26,2989.05
2007-03-27,3039.53
2007-03-28,3004.3
2007-03-29,2894.78
2007-03-30,2926.06
2007-04-02,2993.63
2007-04-03,3042.46
2007-04-04,3078.9
2007-04-05,3133.14
2007-04-06,3182.8
2007-04-09,3240.3
2007-04-10,3261.53
2007-04-11,3309.75
2007-04-12,3387.41
2007-04-13,3358.63
2007-04-16,3458.07
2007-04-17,3558.22
2007-04-18,3649.71
2007-04-19,3435.78
2007-04-20,3614.39
2007-04-23,3782.26
2007-04-24,3821.42
2007-04-25,3805.05
2007-04-26,3853.27
2007-04-27,3845.81
2007-04-30,3903.69
2007-05-08,4091.13
2007-05-09,4099.13
2007-05-10,4128.08
2007-05-11,4109.4
2007-05-14,4133.83
2007-05-15,3998.78
2007-05-16,4118.14
2007-05-17,4221.91
2007-05-18,4235.19
2007-05-21,4364.16
2007-05-22,4459.81
2007-05-23,4582.31
2007-05-24,4571.71
2007-05-25,4649.86
2007-05-28,4761.7
2007-05-29,4853.64
2007-05-30,4456.28
2007-05-31,4267.78
2007-06-01,3960.44
2007-06-04,3618.69
2007-06-05,3659.94
2007-06-06,3736.93
2007-06-07,3936.77
2007-06-08,4002.87
2007-06-11,4104.55
2007-06-12,4218.44
2007-06-13,4372.53
2007-06-14,4311.98
2007-06-15,4316.53
2007-06-18,4439.19
2007-06-19,4529.03
2007-06-20,4396.22
2007-06-21,4374.49
2007-06-22,4123.22
2007-06-25,3851.94
2007-06-26,3928.7
2007-06-27,4022.31
2007-06-28,3757.98
2007-06-29,3585.49
2007-07-02,3644.79
2007-07-03,3704.71
2007-07-04,3622.52
2007-07-05,3380.18
2007-07-06,3591.38
2007-07-09,3711.71
2007-07-10,3606.19
2007-07-11,3653.31
2007-07-12,3671.18
2007-07-13,3655.85
